Date,Open,High,Low,Close,Volume
2024-01-01,100.0,102.0,98.0,101.0,10000
2024-01-02,100.8,102.8,98.8,101.8,10500
2024-01-03,101.6,103.6,99.6,102.6,11000
2024-01-04,102.4,104.4,100.4,103.4,11500
2024-01-05,103.2,105.2,101.2,104.2,12000
2024-01-06,104.0,106.0,102.0,105.0,12500
2024-01-07,104.8,106.8,102.8,105.8,13000
2024-01-08,105.6,107.6,103.6,106.6,13500
2024-01-09,106.4,108.4,104.4,107.4,14000
2024-01-10,107.2,109.2,105.2,108.2,14500
2024-01-11,108.0,110.0,106.0,109.0,15000
2024-01-12,108.8,110.8,106.8,109.8,15500
2024-01-13,109.6,111.6,107.6,110.6,16000
2024-01-14,110.4,112.4,108.4,111.4,16500
2024-01-15,111.2,113.2,109.2,112.2,17000
2024-01-16,112.0,114.0,110.0,113.0,17500
2024-01-17,112.8,114.8,110.8,113.8,18000
2024-01-18,113.6,115.6,111.6,114.6,18500
2024-01-19,114.4,116.4,112.4,115.4,19000
2024-01-20,115.2,117.2,113.2,116.2,19500
2024-01-21,116.0,118.0,114.0,117.0,20000
2024-01-22,116.8,118.8,114.8,117.8,20500
2024-01-23,117.6,119.6,115.6,118.6,21000
2024-01-24,118.4,120.4,116.4,119.4,21500
2024-01-25,119.2,121.2,117.2,120.2,22000
2024-01-26,120.0,122.0,118.0,121.0,22500
2024-01-27,120.8,122.8,118.8,121.8,23000
2024-01-28,121.6,123.6,119.6,122.6,23500
2024-01-29,122.4,124.4,120.4,123.4,24000
2024-01-30,123.2,125.2,121.2,124.2,24500
